Opponent hand: 'A', Index: '1', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'A', Index: '73', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'C', Index: '74', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'C', Index: '75', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'B', Index: '76', Outcome: 'win', My hand score: '3', Total score: '9'
Opponent hand: 'C', Index: '77', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'B', Index: '78', Outcome: 'draw', My hand score: '2', Total score: '5'
Opponent hand: 'A', Index: '79', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'A', Index: '80', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'C', Index: '81', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'A', Index: '82', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'C', Index: '83', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'C', Index: '84', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'A', Index: '85', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'A', Index: '86', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'A', Index: '87', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'C', Index: '88', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'C', Index: '89', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'A', Index: '90', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'C', Index: '91', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'B', Index: '92', Outcome: 'loss', My hand score: '1', Total score: '1'
Opponent hand: 'A', Index: '93', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'A', Index: '94', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'A', Index: '95', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'B', Index: '96', Outcome: 'draw', My hand score: '2', Total score: '5'
Opponent hand: 'C', Index: '97', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'B', Index: '98', Outcome: 'loss', My hand score: '1', Total score: '1'
Opponent hand: 'C', Index: '99', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'C', Index: '100', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'A', Index: '101', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'C', Index: '102', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'C', Index: '103', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'C', Index: '104', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'C', Index: '105', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'C', Index: '106', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'C', Index: '107', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'C', Index: '108', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'A', Index: '109', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'A', Index: '110', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'C', Index: '111', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'A', Index: '112', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'C', Index: '113', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'C', Index: '114', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'A', Index: '115', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'C', Index: '116', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'A', Index: '117', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'A', Index: '118', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'C', Index: '119', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'C', Index: '120', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'A', Index: '121', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'A', Index: '122', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'C', Index: '123', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'C', Index: '124', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'A', Index: '125', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'A', Index: '126', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'C', Index: '127', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'C', Index: '128', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'A', Index: '129', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'A', Index: '130', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'C', Index: '131', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'B', Index: '132', Outcome: 'draw', My hand score: '2', Total score: '5'
Opponent hand: 'C', Index: '133', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'C', Index: '134', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'A', Index: '135', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'A', Index: '136', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'A', Index: '137', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'A', Index: '138', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'A', Index: '139', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'B', Index: '140', Outcome: 'loss', My hand score: '1', Total score: '1'
Opponent hand: 'A', Index: '141', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'C', Index: '142', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'A', Index: '143', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'A', Index: '144', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'A', Index: '145', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'A', Index: '146', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'C', Index: '147', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'C', Index: '148', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'C', Index: '149', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'B', Index: '150', Outcome: 'draw', My hand score: '2', Total score: '5'
Opponent hand: 'B', Index: '151', Outcome: 'win', My hand score: '3', Total score: '9'
Opponent hand: 'A', Index: '152', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'A', Index: '153', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'A', Index: '154', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'C', Index: '155', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'A', Index: '156', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'A', Index: '157', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'B', Index: '158', Outcome: 'loss', My hand score: '1', Total score: '1'
Opponent hand: 'C', Index: '159', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'C', Index: '160', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'C', Index: '161', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'A', Index: '162', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'A', Index: '163', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'A', Index: '164', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'C', Index: '165', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'C', Index: '166', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'A', Index: '167', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'A', Index: '168', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'C', Index: '169', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'A', Index: '170', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'C', Index: '171', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'C', Index: '172', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'C', Index: '173', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'C', Index: '174', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'A', Index: '175', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'A', Index: '176', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'C', Index: '177', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'A', Index: '178', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'C', Index: '179', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'C', Index: '180', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'C', Index: '181', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'A', Index: '182', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'A', Index: '183', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'C', Index: '184', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'A', Index: '185', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'A', Index: '186', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'A', Index: '187', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'A', Index: '188', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'A', Index: '189', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'A', Index: '190', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'C', Index: '191', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'A', Index: '192', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'A', Index: '193', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'A', Index: '194', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'B', Index: '195', Outcome: 'draw', My hand score: '2', Total score: '5'
Opponent hand: 'C', Index: '196', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'C', Index: '197', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'A', Index: '198', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'B', Index: '199', Outcome: 'win', My hand score: '3', Total score: '9'
Opponent hand: 'A', Index: '200', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'C', Index: '201', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'A', Index: '202', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'C', Index: '203', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'A', Index: '204', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'C', Index: '205', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'A', Index: '206', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'A', Index: '207', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'C', Index: '208', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'C', Index: '209', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'C', Index: '210', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'A', Index: '211', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'C', Index: '212', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'C', Index: '213', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'C', Index: '214', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'C', Index: '215', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'C', Index: '216', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'B', Index: '217', Outcome: 'win', My hand score: '3', Total score: '9'
Opponent hand: 'C', Index: '218', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'A', Index: '219', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'C', Index: '220', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'A', Index: '221', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'C', Index: '222', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'A', Index: '223', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'B', Index: '224', Outcome: 'loss', My hand score: '1', Total score: '1'
Opponent hand: 'C', Index: '225', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'C', Index: '226', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'C', Index: '227', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'B', Index: '228', Outcome: 'draw', My hand score: '2', Total score: '5'
Opponent hand: 'A', Index: '229', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'C', Index: '230', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'C', Index: '231', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'C', Index: '232', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'B', Index: '233', Outcome: 'loss', My hand score: '1', Total score: '1'
Opponent hand: 'A', Index: '234', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'A', Index: '235', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'C', Index: '236', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'C', Index: '237', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'C', Index: '238', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'A', Index: '239', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'A', Index: '240', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'B', Index: '241', Outcome: 'win', My hand score: '3', Total score: '9'
Opponent hand: 'C', Index: '242', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'C', Index: '243', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'A', Index: '244', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'A', Index: '245', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'A', Index: '246', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'B', Index: '247', Outcome: 'win', My hand score: '3', Total score: '9'
Opponent hand: 'B', Index: '248', Outcome: 'loss', My hand score: '1', Total score: '1'
Opponent hand: 'C', Index: '249', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'A', Index: '250', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'A', Index: '251', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'B', Index: '252', Outcome: 'draw', My hand score: '2', Total score: '5'
Opponent hand: 'C', Index: '253', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'C', Index: '254', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'A', Index: '255', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'A', Index: '256', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'C', Index: '257', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'A', Index: '258', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'B', Index: '259', Outcome: 'win', My hand score: '3', Total score: '9'
Opponent hand: 'A', Index: '260', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'C', Index: '261', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'B', Index: '262', Outcome: 'win', My hand score: '3', Total score: '9'
Opponent hand: 'A', Index: '263', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'C', Index: '264', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'C', Index: '265', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'C', Index: '266', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'A', Index: '267', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'C', Index: '268', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'C', Index: '269', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'A', Index: '270', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'A', Index: '271', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'C', Index: '272', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'A', Index: '273', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'C', Index: '274', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'C', Index: '275', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'A', Index: '276', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'A', Index: '277', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'B', Index: '278', Outcome: 'loss', My hand score: '1', Total score: '1'
Opponent hand: 'C', Index: '279', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'C', Index: '280', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'C', Index: '281', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'A', Index: '282', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'A', Index: '283', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'C', Index: '284', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'A', Index: '285', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'A', Index: '286', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'C', Index: '287', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'C', Index: '288', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'A', Index: '289', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'C', Index: '290', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'A', Index: '291', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'A', Index: '292', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'A', Index: '293', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'C', Index: '294', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'B', Index: '295', Outcome: 'win', My hand score: '3', Total score: '9'
Opponent hand: 'A', Index: '296', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'C', Index: '297', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'A', Index: '298', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'A', Index: '299', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'B', Index: '300', Outcome: 'draw', My hand score: '2', Total score: '5'
Opponent hand: 'C', Index: '301', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'B', Index: '302', Outcome: 'loss', My hand score: '1', Total score: '1'
Opponent hand: 'A', Index: '303', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'A', Index: '304', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'C', Index: '305', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'B', Index: '306', Outcome: 'draw', My hand score: '2', Total score: '5'
Opponent hand: 'C', Index: '307', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'C', Index: '308', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'C', Index: '309', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'A', Index: '310', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'C', Index: '311', Outcome: 'loss', My hand score: '2', Total score: '2'
Opponent hand: 'A', Index: '312', Outcome: 'draw', My hand score: '1', Total score: '4'
Opponent hand: 'C', Index: '313', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'A', Index: '314', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'C', Index: '315', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'A', Index: '316', Outcome: 'win', My hand score: '2', Total score: '8'
Opponent hand: 'B', Index: '317', Outcome: 'loss', My hand score: '1', Total score: '1'
Opponent hand: 'C', Index: '318', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'C', Index: '319', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'A', Index: '320', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'B', Index: '321', Outcome: 'draw', My hand score: '2', Total score: '5'
Opponent hand: 'C', Index: '322', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'A', Index: '323', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'C', Index: '324', Outcome: 'draw', My hand score: '3', Total score: '6'
Opponent hand: 'C', Index: '325', Outcome: 'win', My hand score: '1', Total score: '7'
Opponent hand: 'A', Index: '326', Outcome: 'loss', My hand score: '3', Total score: '3'
Opponent hand: 'B', Index: '327', Outcome: 'draw', My hand score: '2', Total score: '5'
